loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
13300,60 months,15.5,319.91,C,,MORTGAGE,22700,Not Verified,debt_consolidation,28.69,0,700,,Charged Off
12800,36 months,14.04,437.72,C,9 years,OWN,77600,Not Verified,debt_consolidation,24.1,0,689,45.5,Charged Off
6600,36 months,13.27,223.24,C,10+ years,OWN,36900,Source Verified,debt_consolidation,21.55,1,696,66.8,Fully Paid
12500,36 months,13.37,423.41,C,9 years,RENT,101200,Not Verified,home_improvement,5.97,1,699,89.8,Fully Paid
11900,36 months,15.14,413.33,C,3 years,MORTGAGE,154000,Not Verified,debt_consolidation,41.96,1,691,41.6,Charged Off
9900,36 months,11.72,327.5,C,9 years,RENT,16500,Not Verified,car,15.89,0,717,53.5,Charged Off
27800,36 months,17.44,997.24,D,10+ years,MORTGAGE,48300,Not Verified,debt_consolidation,7.07,0,686,53.2,Fully Paid
6800,36 months,30.0,288.67,G,5 years,MORTGAGE,195400,Verified,medical,19.29,0,689,43.5,Fully Paid
15000,60 months,16.11,365.65,D,10+ years,RENT,51300,Verified,debt_consolidation,20.97,0,688,20.8,Fully Paid
7700,36 months,10.24,249.33,B,9 years,RENT,62400,Not Verified,small_business,31.65,1,731,51.7,Charged Off
10900,36 months,20.0,405.08,E,10+ years,MORTGAGE,84300,Verified,debt_consolidation,20.52,0,675,87.7,Charged Off
19900,36 months,15.79,697.56,D,2 years,MORTGAGE,103300,Not Verified,credit_card,22.15,1,690,62.4,Charged Off
11200,36 months,14.24,384.1,C,10+ years,MORTGAGE,167900,Source Verified,credit_card,24.76,0,711,71.5,Fully Paid
30200,36 months,12.83,1015.09,C,10+ years,MORTGAGE,22600,Not Verified,debt_consolidation,37.37,0,716,34.1,Charged Off
17500,36 months,7.44,543.88,A,10+ years,RENT,89200,Not Verified,credit_card,38.1,0,756,74.3,Charged Off
9700,60 months,11.0,210.9,B,3 years,RENT,78800,Not Verified,credit_card,12.38,0,706,65.8,Charged Off
22200,36 months,11.46,731.65,B,,RENT,53900,Verified,debt_consolidation,15.38,0,707,33.0,Fully Paid
5800,36 months,13.07,195.62,D,1 year,OWN,41800,Verified,debt_consolidation,15.7,0,680,27.8,Fully Paid
9400,60 months,13.57,216.63,D,2 years,MORTGAGE,97500,Not Verified,credit_card,33.99,1,656,47.5,Charged Off
20900,60 months,13.92,485.44,C,2 years,RENT,164700,Source Verified,credit_card,38.37,0,717,58.1,Charged Off
18500,36 months,21.64,703.08,E,< 1 year,MORTGAGE,68700,Not Verified,credit_card,36.0,1,665,90.0,Fully Paid
26000,36 months,11.5,857.38,B,10+ years,MORTGAGE,48400,Verified,debt_consolidation,29.59,0,711,56.0,Charged Off
11300,36 months,9.47,361.81,B,,MORTGAGE,49500,Source Verified,debt_consolidation,19.91,0,711,61.0,Fully Paid
